Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,311079
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31467
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,179613
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,358474
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,156797
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,135213
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,25068
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16228
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9781
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8725
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,36404
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4582
13,9p_6pZCYVok,Introdução da Soja no Nordeste,4010
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,16424
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16323
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,14408
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10702
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4091
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1894
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,724
