Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,666865
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,398512
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,233925
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,33566
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,74031
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,18315
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,65751
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,34726
9,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,42976
10,yv8HUagtV_w,Como produzir mudas de gliricídia,74651
11,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,41428
12,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",41048
13,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,81917
14,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,194133
15,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",68068
16,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,15879
17,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,42590
18,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,15527
19,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,43611
20,dCBULlO0gDQ,Aquaponia Sistema Familiar,59312
21,E1hFLpqf1AM,Da hidroponia para aquaponia,194156
22,Tpm7X17oKa4,Sorgo: uma boa opção de forragem para o semiárido do Nordeste,52089
23,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",14914
24,Wp7xf1BQXBA,"Palma forrageira,  gliricídia, ureia e farelo de algodão na nutrição animal",16663
25,He1AiTaEyPU,Soja vira solução para crise canavieira no Nordeste,7047
26,pzPNtYeRTvg,Pesquisa demonstra potencial de ervas daninhas na alimentação animal,10157
27,S3YrDEW-l4Q,"Embrapa integra coqueiro, gado de corte e gliricídia em Alagoas",10308
28,iN-uXRLJ-58,Cobertura morta no coqueiro economiza água no plantio,4367
29,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,6991
30,lmHKZoPY-g0,Gliricídia convive bem com a seca,35832
31,zzZmzn3ynhc,Uso do drone na Agricultura,21941
32,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,10904
33,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,8318
34,RayhKM1NsIc,Livro sobre mangaba,7877
35,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,3664
36,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5033
37,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,1808
38,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,7858
39,oYAWgJwuEOM,Banco com espécimes de coqueiros de todo o mundo em Sergipe,1753
40,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1364
41,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1246
